# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2023)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi) -> 2e + H2+ (sum of dissociative + non-dissociative ionization)
#
# Fitting function: 1/x * [ a0*ln(x) + a1*(1-1/x)^a1 + a2*(1-1/x)^a2 + a3*(1-1/x)^a3 + a4*(1-1/x)^a5 + a5*(1-1/x)^a5 ] * exp(-1/x^a6) 
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vi  threshold (eV)   a0            a1            a2            a3            a4            a5            a6
   0  3.13269E+00    8.18480E+01   1.89600E+02   2.04360E-04   1.45190E-07   2.52050E+02   1.16380E+02   9.95470E-02
   1  4.31660E+00    2.87180E+01   2.79650E-08   5.96120E+01   1.83680E-06   9.25930E-10   3.97090E+02   3.65130E-01
   2  3.95710E+00    1.75010E+01   7.33000E-07   2.37450E-08   3.95360E-08   4.23760E+02   1.65180E-07   4.49670E-01
   3  2.84403E+00    1.40030E+02   5.80610E+01   1.26400E-02   1.93100E+01   4.04720E+02   2.98480E-07   7.40320E-02
   4  3.81600E+00    3.64310E+01   5.70740E-09   1.38640E-08   4.16510E+00   5.36050E-04   4.43890E+02   3.68960E-01
   5  3.21650E+00    1.69440E+01   7.70870E-07   3.08510E-09   1.24390E-08   1.49880E-05   5.22080E+02   3.97890E-01
   6  2.86460E+00    9.06200E+01   5.78730E+01   1.21370E-08   1.32420E-05   1.79640E+02   7.79120E+01   3.71000E-01
   7  2.82720E+00    1.74330E+01   1.45350E-06   8.22600E-07   1.35710E-05   4.42800E+02   4.62620E-08   4.43310E-01
   8  3.21750E+00    5.63530E+01   2.42410E-08   6.18990E-09   3.46790E-08   7.79640E-08   3.78960E+02   3.93240E-01
   9  2.89300E+00    8.13710E+01   1.00630E-06   6.21250E-09   5.26180E-07   4.18820E-07   3.18900E+02   4.07900E-01
  10  2.81590E+00    5.50180E+01   8.94780E-12   5.20770E-09   1.26110E-08   1.02180E-08   4.09190E+02   3.84900E-01
  11  3.19160E+00    4.90230E+01   2.17510E-09   2.33580E-10   1.24020E-08   3.20610E+02   2.91270E-08   4.39300E-01
  12  3.10200E+00    5.73910E+01   4.69000E+00   1.05380E-08   1.50540E-04   3.00570E+01   2.83720E+02   4.85490E-01
  13  2.78960E+00    4.52000E+01   1.01700E-10   1.81890E-06   1.99240E-11   1.09910E-09   4.35520E+02   3.83260E-01
  14  2.70300E+00    3.53210E+01   6.57640E-08   4.58610E-08   1.62070E-10   9.70070E-10   4.70250E+02   3.85990E-01
  15  3.05380E+00    1.28880E+01   2.41250E-08   1.30600E-08   3.40650E+02   1.17600E-08   7.99060E-09   5.22200E-01
  16  2.75770E+00    3.53800E+01   2.04810E-08   9.71520E-09   8.78000E+00   6.44160E-05   4.71730E+02   3.53180E-01
  17  2.67500E+00    8.84240E+00   7.82780E-07   5.87550E-09   2.64880E-08   4.61920E+02   9.88520E-08   4.52510E-01
  18  3.00270E+00    2.97080E+01   1.33630E-01   4.92870E+01   2.32980E+01   1.11380E-03   4.80670E+02   2.24590E-01
  19  3.10690E+00    2.67990E+01   1.37190E+01   7.28770E-10   1.24000E+02   1.94290E-05   4.01090E+02   2.22900E-01
  20  3.02980E+00    2.73080E+01   5.00770E-05   3.53900E+01   7.16160E+01   9.24150E-04   4.42910E+02   2.16380E-01
  21  3.12440E+00    2.61680E+01   9.48210E+00   1.53610E+00   1.48200E+02   1.90700E-04   3.78080E+02   2.09220E-01
  22  3.05200E+00    2.62610E+01   5.35300E+00   3.94000E-04   1.37490E+02   2.26390E+01   3.75510E+02   2.09670E-01
  23  2.98200E+00    2.45310E+01   5.52680E+00   1.27330E-13   8.00570E+01   1.47800E+02   2.89580E+02   2.32870E-01
  24  3.07030E+00    2.18710E+01   1.00230E+01   1.08010E-08   1.00920E+02   1.46650E+02   2.38320E+02   2.24760E-01
