# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=6) -> e + H2(a3Sg) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2/x + a1/x^2 + a2/x^3 + a3/x^4 + a4/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4
   0 <-  6  9.12629E+00    4.72000E-04  -6.08440E-06   5.36570E-05  -1.82910E-04   2.13250E-04
   1 <-  6  9.43949E+00    2.61640E-02  -1.40330E-02   9.23610E-02  -1.79100E-01   1.25020E-01
   2 <-  6  9.73579E+00    1.12860E-01  -2.68000E-01   1.81790E+00  -3.80700E+00   3.06520E+00
   3 <-  6  1.00157E+01    1.93550E-01  -7.90650E-01   5.44040E+00  -1.16100E+01   9.74090E+00
   4 <-  6  1.02795E+01    4.04100E-02  -3.41510E-02   2.25590E-01  -5.00810E-01   4.11260E-01
   5 <-  6  1.05275E+01    1.09090E-01  -2.48550E-01   1.73000E+00  -3.68180E+00   3.19230E+00
   6 <-  6  1.07597E+01    7.96090E-02  -1.30570E-01   8.79050E-01  -1.89270E+00   1.60430E+00
   7 <-  6  1.09761E+01    1.04150E-02  -2.33790E-03   1.57570E-02  -3.85150E-02   3.39010E-02
   8 <-  6  1.11763E+01    4.84490E-02  -4.66260E-02   3.01790E-01  -6.34010E-01   5.07160E-01
   9 <-  6  1.13596E+01    8.08410E-02  -1.29550E-01   8.25510E-01  -1.77400E+00   1.41840E+00
  10 <-  6  1.15249E+01    8.50130E-02  -1.43120E-01   9.09940E-01  -1.97900E+00   1.59160E+00
  11 <-  6  1.16703E+01    7.91220E-02  -1.23090E-01   7.72880E-01  -1.68550E+00   1.34020E+00
  12 <-  6  1.17932E+01    6.45840E-02  -8.15530E-02   5.08180E-01  -1.10930E+00   8.75800E-01
  13 <-  6  1.18896E+01    4.76910E-02  -4.43070E-02   2.74960E-01  -6.00760E-01   4.72600E-01
  14 <-  6  1.19549E+01    3.17300E-02  -1.95820E-02   1.21410E-01  -2.65650E-01   2.08950E-01
  15 <-  6  1.19882E+01    1.84630E-02  -6.62850E-03   4.11190E-02  -9.00830E-02   7.09380E-02
  16 <-  6  1.20003E+01    1.08010E-02  -2.26810E-03   1.40730E-02  -3.08480E-02   2.43030E-02
  17 <-  6  1.20065E+01    8.99640E-03  -1.57310E-03   9.75550E-03  -2.13820E-02   1.68340E-02
  18 <-  6  1.20107E+01    6.79130E-03  -8.96220E-04   5.55590E-03  -1.21770E-02   9.58210E-03
  19 <-  6  1.20129E+01    4.70730E-03  -4.30520E-04   2.66840E-03  -5.84840E-03   4.60090E-03
  20 <-  6  1.20139E+01    3.03200E-03  -1.78600E-04   1.10690E-03  -2.42590E-03   1.90820E-03
  21 <-  6  1.20143E+01    1.97170E-03  -7.55280E-05   4.68070E-04  -1.02590E-03   8.06900E-04
  DE <-  6  1.20144E+01   -1.41030E-05   1.24220E-01  -1.20720E+00   4.99980E+00  -4.00630E+00
