# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=6) -> e + H2(g3Sg) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2/x + a1/x^2 + a2/x^3 + a3/x^4 + a4/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4
   0 <-  6  1.12205E+01    3.28120E-03  -2.19020E-04   1.52620E-03  -3.15350E-03   2.26570E-03
   1 <-  6  1.15108E+01    3.49610E-02  -2.43180E-02   1.58820E-01  -3.38380E-01   2.80560E-01
   2 <-  6  1.17807E+01    1.04010E-01  -2.10500E-01   1.32710E+00  -2.81930E+00   2.26790E+00
   3 <-  6  1.20338E+01    6.49930E-02  -8.01840E-02   5.05580E-01  -1.03740E+00   8.11110E-01
   4 <-  6  1.22716E+01    5.25510E-02  -5.26360E-02   3.27300E-01  -6.92040E-01   5.55250E-01
   5 <-  6  1.24942E+01    7.14090E-03  -9.27220E-04   5.76060E-03  -1.13480E-02   8.24370E-03
   6 <-  6  1.27019E+01    3.76210E-02  -2.60120E-02   1.57960E-01  -3.26120E-01   2.54760E-01
   7 <-  6  1.28948E+01    3.56380E-02  -2.28570E-02   1.37330E-01  -2.79020E-01   2.16590E-01
   8 <-  6  1.30728E+01    1.98280E-02  -6.77260E-03   4.02210E-02  -7.78880E-02   5.87410E-02
   9 <-  6  1.32355E+01    4.16170E-03  -2.13490E-04   1.32160E-03  -1.67900E-03   7.30890E-04
  10 <-  6  1.33821E+01    5.58720E-03  -6.79450E-04   4.64980E-03  -1.16130E-02   1.03350E-02
  11 <-  6  1.35110E+01    1.23350E-02  -2.89140E-03   1.75820E-02  -3.78910E-02   3.02770E-02
  12 <-  6  1.36199E+01    1.43310E-02  -3.78140E-03   2.25310E-02  -4.66490E-02   3.60080E-02
  13 <-  6  1.37062E+01    1.36430E-02  -3.37590E-03   1.99470E-02  -4.03600E-02   3.04840E-02
  14 <-  6  1.37720E+01    1.21010E-02  -2.63590E-03   1.55390E-02  -3.09690E-02   2.30700E-02
  15 <-  6  1.38233E+01    1.05240E-02  -1.98540E-03   1.17070E-02  -2.30790E-02   1.70230E-02
  16 <-  6  1.38623E+01    8.75130E-03  -1.37020E-03   8.09330E-03  -1.58280E-02   1.15920E-02
  17 <-  6  1.38885E+01    6.58710E-03  -7.75790E-04   4.59160E-03  -8.93260E-03   6.51320E-03
  18 <-  6  1.39013E+01    3.71430E-03  -2.46640E-04   1.46160E-03  -2.83630E-03   2.06380E-03
  19 <-  6  1.39039E+01    1.01570E-03  -1.84420E-05   1.09320E-04  -2.12030E-04   1.54210E-04
  DE <-  6  1.39041E+01   -1.11050E-05   1.52170E-02  -1.10640E-01   3.17930E-01  -2.23440E-01
