# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=6) -> e + D2(c3Pu) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2/x + a1/x^2 + a2/x^3 + a3/x^4 + a4/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4
   0 <-  6  9.79525E+00    5.11030E-02  -5.33340E-02   3.70440E-01  -7.43340E-01   5.94160E-01
   1 <-  6  1.00039E+01    1.62580E-01  -5.36590E-01   3.96800E+00  -7.68460E+00   6.36810E+00
   2 <-  6  1.02048E+01    2.20610E-01  -9.72800E-01   6.99540E+00  -1.35770E+01   1.09770E+01
   3 <-  6  1.03982E+01    2.13340E-02  -8.81220E-03   7.42090E-02  -1.28390E-01   1.17000E-01
   4 <-  6  1.05842E+01    1.07400E-01  -2.27570E-01   1.82080E+00  -3.34790E+00   2.82860E+00
   5 <-  6  1.07628E+01    9.13830E-02  -1.61780E-01   1.27870E+00  -2.31560E+00   1.92110E+00
   6 <-  6  1.09343E+01    6.02720E-03  -6.75830E-04   7.54960E-03  -1.09050E-02   8.85410E-03
   7 <-  6  1.10988E+01    6.81590E-02  -8.79800E-02   6.29830E-01  -1.17270E+00   9.23920E-01
   8 <-  6  1.12562E+01    9.73310E-02  -1.77280E-01   1.25780E+00  -2.31450E+00   1.78650E+00
   9 <-  6  1.14065E+01    8.10650E-02  -1.22050E-01   8.74070E-01  -1.58700E+00   1.21540E+00
  10 <-  6  1.15498E+01    4.39060E-02  -3.56060E-02   2.61550E-01  -4.64660E-01   3.53890E-01
  11 <-  6  1.16864E+01    6.68220E-03  -8.23630E-04   6.71850E-03  -1.05490E-02   7.34940E-03
  12 <-  6  1.18160E+01    2.44820E-02  -1.08830E-02   7.49360E-02  -1.38960E-01   1.06070E-01
  13 <-  6  1.19385E+01    4.23680E-02  -3.24520E-02   2.34420E-01  -4.21030E-01   3.22290E-01
  14 <-  6  1.20534E+01    5.34210E-02  -5.11690E-02   3.68120E-01  -6.54170E-01   4.93920E-01
  15 <-  6  1.21607E+01    5.71710E-02  -5.81220E-02   4.15060E-01  -7.31840E-01   5.45780E-01
  16 <-  6  1.22602E+01    5.46400E-02  -5.27080E-02   3.76690E-01  -6.58190E-01   4.87230E-01
  17 <-  6  1.23515E+01    4.74880E-02  -3.95820E-02   2.87680E-01  -4.96010E-01   3.67150E-01
  18 <-  6  1.24343E+01    2.78490E-02  -1.37720E-02   1.31100E-01  -2.08350E-01   1.69350E-01
  19 <-  6  1.25082E+01    3.12260E-02  -1.69260E-02   1.27690E-01  -2.14130E-01   1.58410E-01
  20 <-  6  1.25725E+01    2.46310E-02  -1.04670E-02   7.92730E-02  -1.31640E-01   9.66930E-02
  21 <-  6  1.26268E+01    1.87100E-02  -6.00530E-03   4.59440E-02  -7.53830E-02   5.50770E-02
  22 <-  6  1.26705E+01    1.37320E-02  -3.21780E-03   2.50300E-02  -4.04870E-02   2.94740E-02
  23 <-  6  1.27032E+01    9.75560E-03  -1.61630E-03   1.28500E-02  -2.04590E-02   1.48640E-02
  24 <-  6  1.27252E+01    6.69740E-03  -7.58700E-04   6.17380E-03  -9.68120E-03   7.02840E-03
  25 <-  6  1.27379E+01    4.45740E-03  -3.35120E-04   2.77830E-03  -4.30700E-03   3.12680E-03
  26 <-  6  1.27444E+01    2.97750E-03  -1.49290E-04   1.25190E-03  -1.92750E-03   1.39950E-03
  27 <-  6  1.27476E+01    2.02530E-03  -6.90110E-05   5.82290E-04  -8.93250E-04   6.48630E-04
  28 <-  6  1.27491E+01    1.36110E-03  -3.11560E-05   2.63740E-04  -4.03820E-04   2.93260E-04
  29 <-  6  1.27498E+01    8.77900E-04  -1.29590E-05   1.09840E-04  -1.68050E-04   1.22040E-04
  30 <-  6  1.27501E+01    5.39140E-04  -4.88710E-06   4.14480E-05  -6.33920E-05   4.60370E-05
  DE <-  6  1.27502E+01    3.71830E-05   1.57510E-01  -6.92310E-01   4.12240E+00  -3.68030E+00
