# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=6) -> e + D2(g3Sg) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2/x + a1/x^2 + a2/x^3 + a3/x^4 + a4/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4
   0 <-  6  1.19119E+01    2.16070E-02  -9.07550E-03   5.73690E-02  -1.23150E-01   1.03770E-01
   1 <-  6  1.21220E+01    7.88770E-02  -1.19470E-01   7.43300E-01  -1.58820E+00   1.28980E+00
   2 <-  6  1.23204E+01    7.96960E-02  -1.19440E-01   7.35300E-01  -1.53240E+00   1.21130E+00
   3 <-  6  1.25097E+01    2.37310E-02  -1.04630E-02   6.36770E-02  -1.32750E-01   1.05250E-01
   4 <-  6  1.26908E+01    3.79960E-02  -2.65370E-02   1.61530E-01  -3.30570E-01   2.58500E-01
   5 <-  6  1.28640E+01    3.84970E-02  -2.66800E-02   1.61220E-01  -3.21650E-01   2.45510E-01
   6 <-  6  1.30295E+01    8.21780E-03  -1.16200E-03   7.76790E-03  -1.38090E-02   9.56790E-03
   7 <-  6  1.31874E+01    1.58910E-02  -4.58270E-03   2.70380E-02  -5.68770E-02   4.46950E-02
   8 <-  6  1.33379E+01    2.61200E-02  -1.19640E-02   7.00680E-02  -1.38950E-01   1.03810E-01
   9 <-  6  1.34810E+01    1.80970E-02  -5.70740E-03   3.62990E-02  -6.92730E-02   5.34620E-02
  10 <-  6  1.36167E+01    1.37100E-02  -3.12050E-03   1.90950E-02  -3.44320E-02   2.39100E-02
  11 <-  6  1.37450E+01    3.15060E-03  -1.27740E-04   1.36630E-03  -1.74110E-03   8.75540E-04
  12 <-  6  1.38657E+01    4.01140E-03  -2.39830E-04   1.21450E-03  -2.49950E-03   1.79970E-03
  13 <-  6  1.39786E+01    7.38990E-03  -1.00730E-03   5.95210E-03  -1.24410E-02   9.42680E-03
  14 <-  6  1.40835E+01    1.05560E-02  -1.97760E-03   1.15540E-02  -2.28030E-02   1.65460E-02
  15 <-  6  1.41798E+01    1.17900E-02  -2.43140E-03   1.42230E-02  -2.73100E-02   1.93920E-02
  16 <-  6  1.42668E+01    1.17060E-02  -2.38170E-03   1.39870E-02  -2.63960E-02   1.85100E-02
  17 <-  6  1.43435E+01    1.07910E-02  -2.02120E-03   1.19340E-02  -2.22670E-02   1.55150E-02
  18 <-  6  1.44088E+01    9.41900E-03  -1.54410E-03   9.18820E-03  -1.70190E-02   1.18460E-02
  19 <-  6  1.44628E+01    7.95470E-03  -1.10860E-03   6.67340E-03  -1.23060E-02   8.59850E-03
  20 <-  6  1.45076E+01    6.75870E-03  -8.06840E-04   4.91090E-03  -9.03410E-03   6.34550E-03
  21 <-  6  1.45453E+01    5.95580E-03  -6.28870E-04   3.82760E-03  -7.03960E-03   4.94120E-03
  22 <-  6  1.45767E+01    5.19780E-03  -4.80940E-04   2.92750E-03  -5.38760E-03   3.78200E-03
  23 <-  6  1.46020E+01    4.43250E-03  -3.51140E-04   2.13770E-03  -3.93880E-03   2.76640E-03
  24 <-  6  1.46208E+01    3.60180E-03  -2.32650E-04   1.41670E-03  -2.61350E-03   1.83680E-03
  25 <-  6  1.46328E+01    2.62810E-03  -1.24160E-04   7.56230E-04  -1.39640E-03   9.81930E-04
  26 <-  6  1.46383E+01    1.50110E-03  -4.05520E-05   2.47020E-04  -4.56350E-04   3.20990E-04
  27 <-  6  1.46396E+01    5.60720E-04  -5.66030E-06   3.44800E-05  -6.37080E-05   4.48150E-05
  28 <-  6  1.46398E+01    3.44770E-04  -2.14010E-06   1.30370E-05  -2.40880E-05   1.69450E-05
  DE <-  6  1.46399E+01   -1.59650E-06   1.80650E-02  -1.37650E-01   3.60060E-01  -2.41760E-01
