# MCCC calculations of D2 vibrational energy levels
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: vibrational level energies for the B1Su electronic state of D2
# v    Energy (Hartrees)  Energy (eV)
  0   -0.75448           -20.53060
  1   -0.75018           -20.41360
  2   -0.74597           -20.29900
  3   -0.74185           -20.18670
  4   -0.73780           -20.07660
  5   -0.73383           -19.96860
  6   -0.72994           -19.86280
  7   -0.72613           -19.75890
  8   -0.72239           -19.65720
  9   -0.71872           -19.55740
 10   -0.71513           -19.45960
 11   -0.71161           -19.36380
 12   -0.70816           -19.26990
 13   -0.70478           -19.17790
 14   -0.70147           -19.08790
 15   -0.69823           -18.99970
 16   -0.69506           -18.91340
 17   -0.69195           -18.82900
 18   -0.68891           -18.74630
 19   -0.68594           -18.66550
 20   -0.68304           -18.58630
 21   -0.68019           -18.50900
 22   -0.67741           -18.43340
 23   -0.67470           -18.35940
 24   -0.67204           -18.28720
 25   -0.66945           -18.21650
 26   -0.66691           -18.14760
 27   -0.66444           -18.08020
 28   -0.66202           -18.01440
 29   -0.65966           -17.95030
 30   -0.65736           -17.88770
 31   -0.65512           -17.82660
 32   -0.65293           -17.76710
 33   -0.65080           -17.70910
 34   -0.64872           -17.65270
 35   -0.64671           -17.59780
 36   -0.64475           -17.54450
 37   -0.64285           -17.49270
 38   -0.64100           -17.44260
 39   -0.63922           -17.39400
 40   -0.63750           -17.34720
 41   -0.63584           -17.30220
 42   -0.63426           -17.25900
 43   -0.63275           -17.21790
 44   -0.63132           -17.17910
 45   -0.62998           -17.14270
 46   -0.62875           -17.10930
 47   -0.62765           -17.07930
 48   -0.62670           -17.05350
 49   -0.62595           -17.03290
 50   -0.62544           -17.01900
 51   -0.62519           -17.01220
 52   -0.62509           -17.00950
 53   -0.62504           -17.00820
 54   -0.62502           -17.00760
 55   -0.62501           -17.00730
 56   -0.62500           -17.00710
