# MCCC calculations of D2 vibrational energy levels
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: vibrational level energies for the X1Sg electronic state of D2
# v    Energy (Hartrees)  Energy (eV)
  0   -1.16742           -31.76720
  1   -1.15378           -31.39590
  2   -1.14067           -31.03930
  3   -1.12811           -30.69740
  4   -1.11607           -30.36990
  5   -1.10456           -30.05650
  6   -1.09356           -29.75730
  7   -1.08307           -29.47190
  8   -1.07311           -29.20090
  9   -1.06367           -28.94380
 10   -1.05475           -28.70120
 11   -1.04637           -28.47320
 12   -1.03856           -28.26070
 13   -1.03133           -28.06390
 14   -1.02471           -27.88380
 15   -1.01874           -27.72130
 16   -1.01346           -27.57770
 17   -1.00893           -27.45440
 18   -1.00522           -27.35350
 19   -1.00242           -27.27730
 20   -1.00065           -27.22890
 21   -1.00001           -27.21160
