# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2023)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi) -> 2e + D2+ (sum of dissociative + non-dissociative ionization)
#
# Fitting function: 1/x * [ a0*ln(x) + a1*(1-1/x)^a1 + a2*(1-1/x)^a2 + a3*(1-1/x)^a3 + a4*(1-1/x)^a5 + a5*(1-1/x)^a5 ] * exp(-1/x^a6) 
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vi  threshold (eV)   a0            a1            a2            a3            a4            a5            a6
   0  3.64549E+00    1.36580E+02   3.45220E+01   1.11900E-03   5.39580E+01   2.17980E+02   4.65370E-07   3.55260E-02
   1  3.42038E+00    6.76070E+01   5.43780E+01   1.47350E-09   4.98540E-03   6.04720E+01   5.57750E-06   1.04430E+00
   2  3.39940E+00    6.94740E+01   4.67940E+01   4.69420E-06   2.38530E-02   6.85970E+01   4.38540E-10   1.09990E+00
   3  3.19130E+00    7.78710E+01   2.74660E+01   3.46640E-07   1.12650E-04   8.76230E+01   7.08260E-08   1.11980E+00
   4  3.17890E+00    6.01380E+01   5.81410E+01   5.52100E+01   1.41160E+02   1.32790E+02   4.08930E-12   2.75170E-01
   5  3.16680E+00    6.64270E+01   6.05460E+01   8.18050E+00   2.19990E+02   2.09560E-03   3.59780E-10   4.36480E-01
   6  3.15500E+00    7.58580E+01   5.03630E+01   3.70870E+01   1.65320E+02   1.01420E-04   4.69420E-05   5.00710E-01
   7  3.14360E+00    8.29880E+01   4.14420E+01   5.97640E+01   1.43180E+02   3.90430E-03   2.92830E-04   5.19300E-01
   8  3.13290E+00    8.54150E+01   3.64520E+01   6.84920E+01   1.60910E+02   2.59990E-04   4.63000E-04   4.99140E-01
   9  3.12260E+00    8.17160E+01   4.84830E+01   4.08230E+01   2.42370E+02   8.78670E-04   4.96340E-04   4.17870E-01
  10  3.11340E+00    8.02490E+01   5.89450E+01   1.80210E+01   3.13780E+02   4.24730E-07   5.49970E-08   3.38940E-01
  11  3.10510E+00    8.21360E+01   6.47480E+01   6.04980E-10   3.60270E+02   7.61930E-09   1.91020E-07   2.87260E-01
  12  3.09820E+00    8.68400E+01   6.61920E+01   3.47280E-05   3.53850E+02   2.78620E+01   1.33190E-07   2.43830E-01
  13  3.09290E+00    9.22480E+01   6.59060E+01   1.64150E-04   3.45270E+02   3.24770E+01   3.07840E-04   2.22230E-01
  14  3.08970E+00    9.67960E+01   6.66160E+01   1.95940E-06   3.36940E+02   2.02530E+01   2.72730E-04   2.11130E-01
  15  3.08940E+00    1.09460E+02   3.23060E+01   5.00410E-08   1.00700E-07   2.77050E-09   3.68230E+01   1.24250E+00
  16  3.09250E+00    1.05390E+02   4.16830E+01   1.04150E-07   2.95710E+01   4.33010E-06   8.97850E-09   1.07660E+00
  17  3.10020E+00    1.07970E+02   3.32400E+01   1.12860E-03   1.42940E+01   1.50590E-08   1.03220E-05   1.18560E+00
  18  3.02660E+00    1.14320E+02   2.41000E-04   1.24060E+02   2.10170E+02   1.58140E-05   2.27120E-07   1.86830E-01
  19  3.05490E+00    9.24840E+01   3.10380E-10   1.73670E+02   1.28330E+02   1.68230E-05   1.82030E-05   2.66750E-01
  20  3.09230E+00    6.99940E+01   3.09500E-09   1.73890E+02   1.28180E+02   6.87050E-09   8.65610E-08   2.89530E-01
  21  3.06580E+00    5.82530E+01   4.17190E-09   2.50340E-04   1.04360E+02   3.06980E-06   3.97040E-07   1.73060E+00
