# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=7) -> e + D2(EF1Sg) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2*log(x)/x + a1/x + a2/x^2 + a3/x^3 + a4/x^4 + a5/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4            a5
   0 <-  7  1.00389E+01    7.96520E-06   1.91710E-03  -1.33110E-02   4.79450E-02  -7.21200E-02   3.78030E-02
   1 <-  7  1.00830E+01   -6.22110E-10   1.58920E-09  -4.86090E-09   1.08270E-08  -8.82710E-09   1.87050E-09
   2 <-  7  1.01893E+01    3.01350E-10   6.13890E-08  -1.99250E-07   4.15910E-07  -3.03390E-07   3.57390E-08
   3 <-  7  1.02482E+01    3.11930E-07   6.53820E-02  -2.49140E-01   5.36110E-01  -4.32290E-01   7.21530E-02
   4 <-  7  1.02921E+01   -1.08760E-09   6.57190E-07  -2.08690E-06   4.07210E-06  -2.52700E-06  -4.49020E-09
   5 <-  7  1.03915E+01   -4.07820E-07   3.71380E-05  -1.25310E-04   2.32880E-04  -1.25450E-04  -2.06850E-05
   6 <-  7  1.04454E+01    6.58320E-05   4.96300E-01  -1.73560E+00   3.18720E+00  -1.64140E+00  -3.73330E-01
   7 <-  7  1.04872E+01    5.71610E-07   7.62820E-05  -2.91760E-04   5.60010E-04  -3.32680E-04  -3.27330E-05
   8 <-  7  1.05781E+01    1.27880E-07   1.73070E-03  -5.47840E-03   9.04020E-03  -3.06290E-03  -2.09180E-03
   9 <-  7  1.06243E+01    3.62110E-06   3.34070E-01  -1.08190E+00   1.72800E+00  -4.37160E-01  -5.53450E-01
  10 <-  7  1.06668E+01    3.45710E-06   3.62940E-02  -1.18060E-01   1.81720E-01  -2.92190E-02  -7.38670E-02
  11 <-  7  1.07409E+01    9.06960E-07   5.38740E-02  -1.73220E-01   2.40460E-01   2.70460E-02  -1.57410E-01
  12 <-  7  1.07900E+01    3.65040E-05   6.66250E-02  -2.10210E-01   2.57020E-01   1.28090E-01  -2.58550E-01
  13 <-  7  1.08461E+01   -3.51530E-06   5.74140E-03  -1.79570E-02   1.59810E-02   2.90310E-02  -3.57400E-02
  14 <-  7  1.09110E+01   -2.24670E-06   4.88150E-03  -1.91890E-02   4.76100E-02  -5.58870E-02   2.60450E-02
  15 <-  7  1.09719E+01    3.74180E-06   3.55290E-02  -1.15010E-01   1.81390E-01  -5.91860E-02  -3.66200E-02
  16 <-  7  1.10330E+01    1.34220E-06   6.30130E-02  -1.89810E-01   2.32290E-01   7.41450E-02  -1.75160E-01
  17 <-  7  1.10959E+01   -2.44350E-05   7.05700E-02  -1.99050E-01   1.80740E-01   2.33370E-01  -2.83300E-01
  18 <-  7  1.11584E+01    4.10950E-02   5.51630E-02  -1.34910E-01   3.08600E-02   3.92640E-01  -3.43120E-01
  19 <-  7  1.12202E+01    6.05090E-02   2.60000E-02  -3.74410E-02  -1.21480E-01   4.46340E-01  -3.14050E-01
  20 <-  7  1.12816E+01    5.99420E-02   3.63450E-03   2.27310E-02  -1.62440E-01   3.42040E-01  -2.07400E-01
  21 <-  7  1.13426E+01    4.35640E-02  -3.88560E-03   2.77330E-02  -9.71870E-02   1.55470E-01  -8.33480E-02
  22 <-  7  1.14029E+01    1.22420E-07   2.67490E-04  -2.43130E-03   1.04220E-02  -1.74870E-02   9.79660E-03
  23 <-  7  1.14624E+01    8.07360E-07   6.03800E-03  -2.53750E-02   6.50760E-02  -7.54680E-02   3.35250E-02
  24 <-  7  1.15211E+01   -1.50890E-06   1.56940E-02  -5.50060E-02   1.08010E-01  -8.58840E-02   2.56790E-02
  25 <-  7  1.15788E+01   -7.60140E-08   2.50070E-02  -8.03270E-02   1.32630E-01  -6.89610E-02   5.55430E-03
  26 <-  7  1.16357E+01   -3.51990E-06   3.13420E-02  -9.65500E-02   1.45210E-01  -5.41940E-02  -6.53170E-03
  27 <-  7  1.16915E+01    6.37960E-05   3.36450E-02  -1.02540E-01   1.51790E-01  -5.78260E-02  -1.40390E-03
  28 <-  7  1.17462E+01    8.87510E-05   3.21180E-02  -9.93760E-02   1.54890E-01  -8.05590E-02   1.91420E-02
  29 <-  7  1.17999E+01   -8.62650E-06   2.77550E-02  -8.90330E-02   1.52720E-01  -1.10620E-01   4.56170E-02
  30 <-  7  1.18524E+01    3.18890E-07   2.18410E-02  -7.38580E-02   1.42260E-01  -1.33050E-01   6.71130E-02
  31 <-  7  1.19038E+01   -1.33350E-05   1.56050E-02  -5.68660E-02   1.24980E-01  -1.42270E-01   7.90370E-02
