# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=7) -> e + D2(c3Pu) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2/x + a1/x^2 + a2/x^3 + a3/x^4 + a4/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4
   0 <-  7  9.50980E+00    1.70360E-02  -6.14530E-03   4.33870E-02  -8.94690E-02   7.24780E-02
   1 <-  7  9.71845E+00    1.03940E-01  -2.22640E-01   1.54820E+00  -3.13840E+00   2.50720E+00
   2 <-  7  9.91939E+00    2.38770E-01  -1.15960E+00   8.14030E+00  -1.61780E+01   1.29470E+01
   3 <-  7  1.01128E+01    1.68700E-01  -5.74320E-01   4.10070E+00  -8.09060E+00   6.51840E+00
   4 <-  7  1.02988E+01    1.05800E-01  -2.21140E-01   1.63550E+00  -3.08140E+00   2.52160E+00
   5 <-  7  1.04774E+01    5.85070E-02  -6.82260E-02   5.12510E-01  -9.79490E-01   8.01430E-01
   6 <-  7  1.06489E+01    1.02690E-01  -2.06890E-01   1.64220E+00  -3.00980E+00   2.53290E+00
   7 <-  7  1.08134E+01    6.41950E-02  -7.95510E-02   6.24550E-01  -1.12880E+00   9.35760E-01
   8 <-  7  1.09707E+01    4.09350E-03  -3.20610E-04   2.06540E-03  -4.32330E-03   3.41270E-03
   9 <-  7  1.11211E+01    6.06690E-02  -6.93010E-02   4.99890E-01  -9.22960E-01   7.25680E-01
  10 <-  7  1.12644E+01    8.41820E-02  -1.32140E-01   9.44470E-01  -1.72850E+00   1.33560E+00
  11 <-  7  1.14009E+01    7.54090E-02  -1.05320E-01   7.59830E-01  -1.37440E+00   1.05390E+00
  12 <-  7  1.15306E+01    4.97390E-02  -4.55880E-02   3.38570E-01  -6.00880E-01   4.59460E-01
  13 <-  7  1.16530E+01    2.33790E-02  -9.95710E-03   7.46090E-02  -1.29050E-01   9.54360E-02
  14 <-  7  1.17680E+01    1.66650E-03  -5.39120E-05   3.41910E-04  -8.63930E-04   7.55910E-04
  15 <-  7  1.18753E+01    2.26020E-02  -9.30860E-03   6.33570E-02  -1.18080E-01   9.04620E-02
  16 <-  7  1.19747E+01    3.36620E-02  -2.05430E-02   1.47030E-01  -2.65670E-01   2.04280E-01
  17 <-  7  1.20661E+01    4.17560E-02  -3.13450E-02   2.22580E-01  -3.98550E-01   3.01480E-01
  18 <-  7  1.21489E+01    4.48880E-02  -3.59740E-02   2.54280E-01  -4.52120E-01   3.38480E-01
  19 <-  7  1.22227E+01    4.42310E-02  -3.47300E-02   2.45170E-01  -4.33130E-01   3.22110E-01
  20 <-  7  1.22871E+01    4.08890E-02  -2.95450E-02   2.09240E-01  -3.67240E-01   2.72200E-01
  21 <-  7  1.23414E+01    3.58350E-02  -2.26140E-02   1.61610E-01  -2.81560E-01   2.08730E-01
  22 <-  7  1.23851E+01    2.98820E-02  -1.56880E-02   1.13820E-01  -1.96670E-01   1.46310E-01
  23 <-  7  1.24178E+01    2.30470E-02  -9.33070E-03   7.01160E-02  -1.19590E-01   9.01000E-02
  24 <-  7  1.24398E+01    1.27720E-02  -2.91780E-03   2.80100E-02  -4.47500E-02   3.69650E-02
  25 <-  7  1.24525E+01    1.03490E-06   6.78270E-04  -2.38370E-04   9.74330E-03  -3.55480E-03
  26 <-  7  1.24590E+01    2.54260E-07   7.92080E-04  -4.62310E-03   1.62750E-02  -1.02470E-02
  27 <-  7  1.24622E+01    1.20420E-06   5.36050E-04  -3.72740E-03   1.16860E-02  -7.77140E-03
  28 <-  7  1.24637E+01    1.05260E-08   3.00060E-04  -2.23330E-03   6.70630E-03  -4.55510E-03
  29 <-  7  1.24644E+01    5.61310E-07   1.36260E-04  -1.03780E-03   3.07190E-03  -2.10150E-03
  30 <-  7  1.24646E+01    9.98040E-09   5.31900E-05  -4.08500E-04   1.20290E-03  -8.25030E-04
  DE <-  7  1.24647E+01   -4.12090E-07   1.87000E-01  -8.22060E-01   4.48570E+00  -3.91990E+00
