# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=7) -> e + D2(a3Sg) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2/x + a1/x^2 + a2/x^3 + a3/x^4 + a4/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4
   0 <-  7  9.52903E+00    1.93330E-03  -7.55210E-05   5.65280E-04  -1.04320E-03   8.42460E-04
   1 <-  7  9.75413E+00    3.33070E-02  -2.25720E-02   1.48180E-01  -2.88440E-01   2.07260E-01
   2 <-  7  9.97066E+00    1.03360E-01  -2.23970E-01   1.54650E+00  -3.21430E+00   2.66310E+00
   3 <-  7  1.01788E+01    1.76520E-01  -6.52370E-01   4.46320E+00  -9.48460E+00   7.95890E+00
   4 <-  7  1.03787E+01    4.63700E-02  -4.40630E-02   2.93530E-01  -6.11740E-01   4.91840E-01
   5 <-  7  1.05706E+01    1.15130E-01  -2.75810E-01   1.89650E+00  -4.05580E+00   3.46510E+00
   6 <-  7  1.07544E+01    4.63330E-02  -4.44650E-02   2.95890E-01  -6.54880E-01   5.48660E-01
   7 <-  7  1.09304E+01    5.08970E-02  -5.25530E-02   3.48720E-01  -7.41920E-01   6.18130E-01
   8 <-  7  1.10985E+01    1.00480E-01  -2.03920E-01   1.32180E+00  -2.87980E+00   2.36110E+00
   9 <-  7  1.12587E+01    9.08240E-02  -1.65610E-01   1.06010E+00  -2.32730E+00   1.89190E+00
  10 <-  7  1.14110E+01    4.68340E-02  -4.38830E-02   2.78900E-01  -6.16720E-01   5.00650E-01
  11 <-  7  1.15551E+01   -3.99420E-07   7.05750E-05  -5.12520E-04   1.53280E-03  -1.10380E-03
  12 <-  7  1.16910E+01    4.07210E-02  -3.25050E-02   2.05090E-01  -4.43660E-01   3.54080E-01
  13 <-  7  1.18183E+01    6.53600E-02  -8.31300E-02   5.18710E-01  -1.11940E+00   8.85380E-01
  14 <-  7  1.19365E+01    7.44210E-02  -1.07150E-01   6.65230E-01  -1.43040E+00   1.12690E+00
  15 <-  7  1.20451E+01    7.24550E-02  -1.01050E-01   6.25280E-01  -1.33940E+00   1.05250E+00
  16 <-  7  1.21432E+01    6.64370E-02  -8.43340E-02   5.17240E-01  -1.10160E+00   8.56320E-01
  17 <-  7  1.22298E+01    5.65380E-02  -6.07080E-02   3.69770E-01  -7.84160E-01   6.04360E-01
  18 <-  7  1.23034E+01    4.51890E-02  -3.86120E-02   2.34070E-01  -4.95130E-01   3.79400E-01
  19 <-  7  1.23624E+01    3.41640E-02  -2.20090E-02   1.33070E-01  -2.81240E-01   2.14830E-01
  20 <-  7  1.24051E+01    2.44690E-02  -1.12740E-02   6.80930E-02  -1.43970E-01   1.09840E-01
  21 <-  7  1.24316E+01    1.65160E-02  -5.13320E-03   3.09990E-02  -6.55950E-02   5.00350E-02
  22 <-  7  1.24450E+01    1.06010E-02  -2.11440E-03   1.27690E-02  -2.70370E-02   2.06250E-02
  23 <-  7  1.24514E+01    7.76880E-03  -1.13550E-03   6.85810E-03  -1.45270E-02   1.10820E-02
  24 <-  7  1.24559E+01    6.78420E-03  -8.65950E-04   5.23020E-03  -1.10820E-02   8.45470E-03
  25 <-  7  1.24593E+01    5.65800E-03  -6.02310E-04   3.63800E-03  -7.71010E-03   5.88260E-03
  26 <-  7  1.24617E+01    4.50610E-03  -3.82030E-04   2.30760E-03  -4.89130E-03   3.73220E-03
  27 <-  7  1.24631E+01    3.45360E-03  -2.24400E-04   1.35550E-03  -2.87350E-03   2.19260E-03
  28 <-  7  1.24639E+01    2.55600E-03  -1.22920E-04   7.42510E-04  -1.57410E-03   1.20110E-03
  29 <-  7  1.24644E+01    1.81600E-03  -6.20480E-05   3.74810E-04  -7.94630E-04   6.06340E-04
  30 <-  7  1.24646E+01    1.33800E-03  -3.36820E-05   2.03460E-04  -4.31370E-04   3.29160E-04
  DE <-  7  1.24647E+01   -2.10980E-05   1.52720E-01  -1.47210E+00   5.37060E+00  -4.09400E+00
