# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2023)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi) -> 2e + D2+ (sum of dissociative + non-dissociative ionization)
#
# Fitting function: 1/x * [ a0*ln(x) + a1*(1-1/x)^a1 + a2*(1-1/x)^a2 + a3*(1-1/x)^a3 + a4*(1-1/x)^a5 + a5*(1-1/x)^a5 ] * exp(-1/x^a6) 
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vi  threshold (eV)   a0            a1            a2            a3            a4            a5            a6
   0  3.13566E+00    8.64060E+01   1.85300E+02   1.75650E-07   2.13440E-07   2.52860E+02   1.09450E+02   9.55750E-02
   1  4.44130E+00    3.67700E+01   2.94720E-06   3.14790E-08   1.06650E-06   3.49930E+02   1.73210E-07   4.53910E-01
   2  4.19210E+00    2.83980E+01   2.43640E-06   4.87950E+01   1.37220E-08   6.33400E-04   4.18080E+02   3.60640E-01
   3  2.92633E+00    1.13830E+02   1.06690E+02   1.14460E-03   4.66520E+01   3.55520E+02   7.66350E-09   9.03260E-02
   4  3.93920E+00    3.41550E+01   2.33860E-08   3.24050E-05   2.19210E+01   7.47120E-05   4.34570E+02   3.68730E-01
   5  3.83990E+00    1.68560E+01   3.03700E-10   2.48530E-08   8.62910E-08   4.19470E+02   6.06200E-10   4.47910E-01
   6  2.92470E+00    7.55790E+01   1.39740E+02   1.22010E-02   6.15490E+00   3.94550E+02   1.02290E+00   1.49820E-01
   7  3.58690E+00    9.24600E+00   1.28910E-06   3.28210E-07   3.20100E-10   4.46460E+02   1.25340E-07   4.44950E-01
   8  3.15920E+00    1.87860E+01   3.23880E-08   4.55080E-08   2.50290E-07   3.64570E-08   5.15520E+02   3.97510E-01
   9  2.93340E+00    9.76330E+01   1.00100E+02   8.36130E-08   6.63330E-06   2.93210E+02   4.58160E+01   1.91610E-01
  10  3.07060E+00    2.82840E+01   3.33730E-07   1.35090E-07   2.31850E-10   2.81290E-08   4.84320E+02   3.94650E-01
  11  3.16860E+00    5.22910E+01   5.46170E-09   2.42470E-07   5.94060E-09   3.34160E+02   1.20710E-09   4.34560E-01
  12  2.94730E+00    8.34240E+01   1.67140E+01   1.25470E-08   8.69210E-09   3.29130E-05   2.68740E+02   4.53270E-01
  13  2.89130E+00    5.17630E+01   1.38910E-09   4.10000E-09   6.49900E-07   1.41740E-08   4.14820E+02   3.87190E-01
  14  2.82640E+00    3.23090E+01   2.09020E-02   3.30930E-03   3.83350E-08   3.97180E+02   4.96450E-07   4.47490E-01
  15  2.93750E+00    6.31290E+01   1.33290E-04   4.98140E-07   6.02610E-08   8.78850E-09   3.65180E+02   3.97310E-01
  16  2.87640E+00    5.30520E+01   7.44310E-05   2.28820E-06   1.78960E-10   1.45910E-06   4.04490E+02   3.87340E-01
  17  2.81350E+00    2.61690E+01   7.55540E-05   4.62440E-09   4.64950E-10   4.11100E+02   4.57140E-09   4.42830E-01
  18  2.91560E+00    5.14570E+01   5.09250E-08   9.25290E-04   1.52670E-07   1.90070E+00   3.97750E+02   3.90520E-01
  19  2.85390E+00    4.70270E+01   1.30110E-05   5.40640E-06   1.23670E-05   1.61890E-03   4.24270E+02   3.79670E-01
  20  2.79250E+00    4.12360E+01   2.91470E-01   9.25910E-03   9.86280E-08   3.79130E-01   4.47460E+02   3.78000E-01
  21  2.88870E+00    2.65610E+01   2.49690E-08   4.70420E-08   8.82530E-09   3.99690E+02   7.13280E-09   4.46410E-01
  22  2.82840E+00    2.14650E+01   1.01910E-06   5.92010E-09   7.39360E-08   4.17480E+02   1.05090E-07   4.48340E-01
  23  2.91890E+00    3.73910E+01   1.65320E-05   2.57250E-04   6.08900E+01   6.11360E-05   3.70960E+02   3.80350E-01
  24  2.86030E+00    2.18400E+01   4.15290E-08   7.54250E-09   7.97240E-09   4.12960E+02   3.38630E-07   4.49860E-01
  25  2.80250E+00    3.06590E+01   5.38950E-06   1.27740E-04   4.90540E+01   5.42390E-10   4.37130E+02   3.43970E-01
  26  2.88870E+00    2.22610E+01   3.71950E-08   1.32810E-09   4.49460E-09   4.07500E+02   4.19870E-07   4.49820E-01
  27  2.83290E+00    2.73770E+01   3.85210E-06   1.37020E-07   7.60550E+01   5.88480E-06   4.15910E+02   3.30860E-01
  28  3.04290E+00    2.83080E+01   1.25460E+00   3.50670E+01   6.68550E+01   3.12210E-04   4.51930E+02   2.08580E-01
  29  2.86040E+00    2.45400E+01   2.99180E-10   2.22330E-05   1.00370E+02   5.87360E-02   3.96720E+02   3.17610E-01
  30  2.80780E+00    1.45980E+01   1.42660E-08   3.65000E-08   1.26330E-09   4.30160E+02   1.31910E-08   4.47270E-01
  31  3.12240E+00    2.56800E+01   1.19010E+01   1.64520E-04   1.09120E+02   1.08170E+02   2.99840E+02   2.13330E-01
  32  3.07230E+00    6.54300E+00   1.68900E-09   2.54220E-09   3.49940E+02   2.86300E-08   2.88460E-09   5.27420E-01
  33  3.13150E+00    2.25410E+01   1.58930E+01   2.72320E-04   7.34800E+01   2.44950E+02   1.61530E+02   2.42100E-01
  34  3.08390E+00    2.15840E+01   1.19600E+01   2.30420E-09   8.85260E+01   1.96120E+02   1.88610E+02   2.42600E-01
