# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=4) -> e + D2(j3Dg) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2/x + a1/x^2 + a2/x^3 + a3/x^4 + a4/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4
   0 <-  4  1.25775E+01    3.48190E-02  -1.94960E-02   1.50710E-01  -2.39440E-01   1.64870E-01
   1 <-  4  1.27743E+01    3.71830E-02  -2.39580E-02   1.52390E-01  -2.68900E-01   1.96470E-01
   2 <-  4  1.29659E+01   -5.18000E-08   5.86530E-03  -3.95660E-02   1.27560E-01  -8.42730E-02
   3 <-  4  1.31473E+01    8.78520E-03  -1.30660E-03   7.54230E-03  -1.39630E-02   9.63180E-03
   4 <-  4  1.33195E+01    2.52230E-02  -1.06270E-02   6.74160E-02  -1.16340E-01   8.16690E-02
   5 <-  4  1.34852E+01   -7.13660E-06   5.74650E-04   7.01480E-03   8.64130E-04   7.71660E-03
   6 <-  4  1.36445E+01    1.32120E-02  -3.01030E-03   1.95950E-02  -3.44800E-02   2.51190E-02
   7 <-  4  1.37971E+01    1.73720E-03  -5.90050E-05   3.61810E-04  -7.42760E-04   5.71290E-04
   8 <-  4  1.39423E+01   -8.14270E-10   5.16290E-05   1.02720E-03  -6.53870E-04   1.50930E-03
   9 <-  4  1.40799E+01    1.44200E-02  -3.47120E-03   2.15830E-02  -3.85910E-02   2.81310E-02
  10 <-  4  1.42107E+01    1.79790E-02  -5.44460E-03   3.27300E-02  -5.99960E-02   4.37310E-02
  11 <-  4  1.43347E+01    1.84220E-02  -5.73370E-03   3.36680E-02  -6.27440E-02   4.57790E-02
  12 <-  4  1.44516E+01    1.59710E-02  -4.32620E-03   2.52340E-02  -4.76000E-02   3.52020E-02
  13 <-  4  1.45615E+01    1.31260E-02  -2.91790E-03   1.67530E-02  -3.19090E-02   2.36350E-02
  14 <-  4  1.46643E+01    9.82080E-03  -1.62720E-03   9.19660E-03  -1.76310E-02   1.30440E-02
  15 <-  4  1.47599E+01    6.34570E-03  -6.76060E-04   3.77070E-03  -7.25840E-03   5.38530E-03
  16 <-  4  1.48482E+01    3.05580E-03  -1.55540E-04   8.55510E-04  -1.64900E-03   1.24610E-03
  17 <-  4  1.49289E+01    1.16650E-08   2.49890E-07  -2.66340E-06   6.73120E-06   9.13870E-07
  18 <-  4  1.50018E+01    1.51330E-03  -4.03280E-05   2.42460E-04  -4.84620E-04   3.56690E-04
  19 <-  4  1.50665E+01    3.08070E-03  -1.61910E-04   9.27380E-04  -1.82670E-03   1.34380E-03
  20 <-  4  1.51225E+01    4.04950E-03  -2.77480E-04   1.57100E-03  -3.08560E-03   2.27470E-03
  21 <-  4  1.51693E+01    4.48610E-03  -3.38910E-04   1.90720E-03  -3.74030E-03   2.75940E-03
  22 <-  4  1.52062E+01    4.43060E-03  -3.29560E-04   1.84830E-03  -3.62150E-03   2.67330E-03
  23 <-  4  1.52324E+01    3.86680E-03  -2.50530E-04   1.40250E-03  -2.74620E-03   2.02810E-03
  24 <-  4  1.52473E+01    2.69570E-03  -1.21620E-04   6.80240E-04  -1.33160E-03   9.83710E-04
  25 <-  4  1.52518E+01    9.77810E-04  -1.59980E-05   8.94540E-05  -1.75090E-04   1.29360E-04
  26 <-  4  1.52524E+01    3.41650E-04  -1.95300E-06   1.09200E-05  -2.13750E-05   1.57920E-05
  DE <-  4  1.52524E+01    5.87630E-06   1.69560E-02  -1.43270E-01   3.91510E-01  -2.58770E-01
